model,"(ap, acc, racc, facc)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan,Time
clip_vitl14_prob0_0.5thresh,"(0.97, 0.71, 1.0, 0.43)","(0.98, 0.65, 1.0, 0.31)","(0.99, 0.76, 1.0, 0.53)","(0.99, 0.77, 1.0, 0.53)","(0.9, 0.57, 1.0, 0.14)","(1.0, 0.9, 1.0, 0.81)","(0.97, 0.64, 1.0, 0.29)","(0.93, 0.57, 1.0, 0.13)","(1.0, 0.83, 1.0, 0.66)","22 Aug 2024, 11:52AM"
clip_vitl14_prob0_bestthresh,"(0.97, 0.93, 0.92, 0.93)","(0.98, 0.93, 0.93, 0.94)","(0.99, 0.96, 0.96, 0.97)","(0.99, 0.96, 0.95, 0.97)","(0.9, 0.82, 0.82, 0.81)","(1.0, 0.98, 0.98, 0.97)","(0.97, 0.93, 0.91, 0.95)","(0.93, 0.86, 0.87, 0.85)","(1.0, 0.97, 0.97, 0.98)","22 Aug 2024, 11:52AM"
clip_vitl14_prob0.1_0.5thresh,"(0.93, 0.74, 0.99, 0.5)","(0.94, 0.69, 0.99, 0.4)","(0.98, 0.84, 0.99, 0.69)","(0.98, 0.84, 0.99, 0.69)","(0.77, 0.56, 0.99, 0.14)","(0.97, 0.83, 0.99, 0.67)","(0.95, 0.73, 0.99, 0.47)","(0.86, 0.59, 0.99, 0.19)","(0.99, 0.87, 0.99, 0.75)","22 Aug 2024, 11:52AM"
clip_vitl14_prob0.1_bestthresh,"(0.93, 0.88, 0.87, 0.88)","(0.94, 0.87, 0.87, 0.88)","(0.98, 0.94, 0.92, 0.95)","(0.98, 0.94, 0.92, 0.95)","(0.77, 0.7, 0.71, 0.69)","(0.97, 0.92, 0.92, 0.91)","(0.95, 0.89, 0.88, 0.9)","(0.86, 0.79, 0.78, 0.8)","(0.99, 0.95, 0.94, 0.95)","22 Aug 2024, 11:52AM"
clip_vitl14_prob0.5_0.5thresh,"(0.89, 0.74, 0.98, 0.5)","(0.91, 0.71, 0.98, 0.44)","(0.97, 0.85, 0.98, 0.73)","(0.97, 0.85, 0.98, 0.73)","(0.67, 0.55, 0.97, 0.12)","(0.93, 0.78, 0.97, 0.58)","(0.93, 0.76, 0.97, 0.54)","(0.77, 0.57, 0.98, 0.16)","(0.96, 0.82, 0.97, 0.66)","22 Aug 2024, 12:16PM"
clip_vitl14_prob0.5_bestthresh,"(0.89, 0.83, 0.84, 0.82)","(0.91, 0.84, 0.82, 0.86)","(0.97, 0.91, 0.9, 0.92)","(0.97, 0.91, 0.92, 0.91)","(0.67, 0.62, 0.75, 0.49)","(0.93, 0.86, 0.86, 0.86)","(0.93, 0.87, 0.86, 0.87)","(0.77, 0.72, 0.74, 0.7)","(0.96, 0.9, 0.87, 0.93)","22 Aug 2024, 12:16PM"
clip_rn50_prob0_0.5thresh,"(0.93, 0.84, 0.94, 0.75)","(0.97, 0.92, 0.94, 0.9)","(0.98, 0.94, 0.93, 0.96)","(0.98, 0.95, 0.94, 0.95)","(0.89, 0.75, 0.93, 0.57)","(0.98, 0.94, 0.94, 0.95)","(0.96, 0.9, 0.94, 0.86)","(0.86, 0.7, 0.94, 0.45)","(0.82, 0.64, 0.94, 0.34)","23 Aug 2024, 11:21AM"
clip_rn50_prob0_bestthresh,"(0.93, 0.9, 0.87, 0.93)","(0.97, 0.93, 0.92, 0.94)","(0.98, 0.95, 0.92, 0.97)","(0.98, 0.95, 0.93, 0.97)","(0.89, 0.83, 0.8, 0.85)","(0.98, 0.94, 0.92, 0.96)","(0.96, 0.91, 0.9, 0.92)","(0.86, 0.82, 0.78, 0.87)","(0.82, 0.86, 0.78, 0.94)","23 Aug 2024, 11:21AM"
clip_rn50_prob0.1_0.5thresh,"(0.88, 0.81, 0.77, 0.86)","(0.94, 0.87, 0.77, 0.97)","(0.98, 0.88, 0.76, 1.0)","(0.97, 0.88, 0.76, 0.99)","(0.8, 0.74, 0.76, 0.71)","(0.93, 0.86, 0.76, 0.97)","(0.95, 0.87, 0.77, 0.97)","(0.77, 0.73, 0.78, 0.68)","(0.66, 0.67, 0.77, 0.57)","23 Aug 2024, 11:21AM"
clip_rn50_prob0.1_bestthresh,"(0.88, 0.84, 0.8, 0.89)","(0.94, 0.89, 0.88, 0.9)","(0.98, 0.93, 0.9, 0.96)","(0.97, 0.93, 0.91, 0.95)","(0.8, 0.74, 0.73, 0.75)","(0.93, 0.88, 0.83, 0.93)","(0.95, 0.9, 0.88, 0.91)","(0.77, 0.74, 0.67, 0.8)","(0.66, 0.75, 0.58, 0.91)","23 Aug 2024, 11:21AM"
clip_rn50_prob0.5_0.5thresh,"(0.81, 0.74, 0.76, 0.73)","(0.9, 0.84, 0.76, 0.92)","(0.96, 0.87, 0.76, 0.98)","(0.96, 0.86, 0.75, 0.97)","(0.69, 0.65, 0.76, 0.54)","(0.89, 0.83, 0.76, 0.89)","(0.94, 0.85, 0.76, 0.94)","(0.67, 0.63, 0.77, 0.49)","(0.45, 0.42, 0.77, 0.07)","23 Aug 2024, 11:21AM"
clip_rn50_prob0.5_bestthresh,"(0.81, 0.78, 0.71, 0.84)","(0.9, 0.85, 0.83, 0.86)","(0.96, 0.9, 0.88, 0.92)","(0.96, 0.9, 0.87, 0.92)","(0.69, 0.66, 0.65, 0.67)","(0.89, 0.83, 0.77, 0.88)","(0.94, 0.87, 0.85, 0.89)","(0.67, 0.64, 0.6, 0.69)","(0.45, 0.58, 0.23, 0.92)","23 Aug 2024, 11:21AM"
